Designator,Mid X,Mid Y,Rotation,Layer
C1,182.7575,-113.4575,0,top
C2,182.8575,-111.6575,180,top
C3,186.2575,-113.4575,180,top
C4,186.2575,-109.9575,180,top
C5,195.9575,-111.1575,0,top
C6,197.6575,-118.8575,90,top
C7,191.1125,-104.7,180,top
C8,195.7575,-109.3575,0,top
C9,175.1,-112.5,0,top
C10,199.1,-112.7575,0,top
C11,199.0575,-114.6,180,top
C12,175,-118.2,180,top
C13,178.975,-113.3,180,top
D1,188,-106.6,90,top
D2,195.2575,-118.1575,-90,top
D3,171.5175,-109.08,0,top
J1,196.19,-122.79,-90,top
L1,184.25,-106.7,0,top
L2,191.7575,-118.3,90,top
L3,171.3,-115.475,90,top
Q1,187.025,-116.5275,0,top
R1,186.2575,-111.6575,180,top
R2,191.1125,-106.5,0,top
R3,191.2125,-108.3,180,top
R4,196.1,-112.7575,180,top
R5,195.9575,-114.6,0,top
R6,178.975,-114.9,0,top
R7,179,-116.5,180,top
R8,171.525,-110.7,180,top
U1,191.25,-112.0875,0,top
U2,175.0625,-115.35,0,top
